Month,Service Category,Client Name,Revenue,Operational Cost,Marketing Spend,Employee Cost,Software Subscription Cost,Gross Profit,Net Profit,CAC,ROAS,Budget,Actual Spending
Jan-2025,Influencer Marketing,Wardah Cosmetics,278.5,120.2,25.2,40.5,8.6,158.3,84.0,2.92,3.88,272.3,193.3
Jan-2025,Influencer Marketing,Kopi Kenangan,199.4,83.6,19.2,28.3,5.8,115.9,62.6,3.0,4.07,203.1,143.2
Jan-2025,Influencer Marketing,Erigo Apparel,179.6,75.9,18.5,24.5,5.4,103.7,55.2,2.88,3.76,196.1,132.6
Jan-2025,Influencer Marketing,Somethinc,197.9,81.8,18.2,28.2,5.9,116.2,63.8,2.84,4.2,189.1,142.2
Jan-2025,Ads Management,Tokopedia,631.8,364.3,52.1,78.4,24.2,267.5,112.7,2.18,4.9,631.1,520.6
Jan-2025,Ads Management,Traveloka,185.9,106.5,14.6,22.1,7.5,79.4,35.3,2.14,5.9,178.7,160.9
Jan-2025,Ads Management,Ruangguru,187.4,100.2,13.5,23.1,7.6,87.2,43.0,2.56,5.86,180.1,144.3
Jan-2025,Ads Management,BliBli,410.3,235.8,34.0,48.9,15.7,174.5,75.9,2.26,5.27,434.7,344.5
Jan-2025,E-commerce Enablement,Eiger Adventure,182.6,87.4,14.9,23.2,8.7,95.2,48.4,4.27,3.63,187.4,142.2
Jan-2025,E-commerce Enablement,MS Glow,294.0,140.4,28.2,37.7,14.1,153.5,73.6,3.84,3.49,320.3,231.2
Jan-2025,E-commerce Enablement,Scarlett Whitening,231.7,116.3,22.5,29.6,12.0,115.4,51.3,4.15,4.08,251.3,179.5
Jan-2025,E-commerce Enablement,Sociolla,360.9,168.9,32.3,48.2,18.7,192.0,92.8,3.49,3.81,365.5,263.9
Jan-2025,SaaS Creator Platform,IDN Media,112.9,33.1,15.9,22.4,13.3,79.8,28.2,4.74,3.28,115.7,81.8
Jan-2025,SaaS Creator Platform,Narasi TV,77.6,24.4,10.4,15.2,9.3,53.2,18.3,6.3,3.0,81.6,61.9
Jan-2025,SaaS Creator Platform,Vidio Creators,283.8,87.7,39.0,57.6,34.5,196.1,65.0,5.56,2.89,305.1,217.7
Jan-2025,SaaS Creator Platform,TikTok Shop ID,131.3,37.6,18.9,26.7,15.0,93.7,33.1,5.52,2.99,137.5,96.2
Feb-2025,Influencer Marketing,Wardah Cosmetics,122.1,52.4,13.2,17.2,3.7,69.7,35.6,2.95,3.79,132.4,91.7
Feb-2025,Influencer Marketing,Kopi Kenangan,448.3,185.9,43.8,64.1,14.0,262.4,140.6,3.57,4.48,469.0,298.2
Feb-2025,Influencer Marketing,Erigo Apparel,130.6,57.5,13.5,17.7,3.8,73.1,38.1,3.36,3.7,127.2,94.4
Feb-2025,Influencer Marketing,Somethinc,185.8,79.7,17.6,26.5,5.4,106.1,56.5,3.03,4.45,194.7,136.3
Feb-2025,Ads Management,Tokopedia,454.9,255.1,39.1,54.9,18.3,199.8,87.5,2.39,5.1,481.5,364.0
Feb-2025,Ads Management,Traveloka,623.2,349.9,46.8,77.5,26.1,273.2,122.9,2.7,5.33,593.5,531.3
Feb-2025,Ads Management,Ruangguru,171.0,99.4,15.2,21.1,6.7,71.7,28.6,2.32,5.96,170.6,139.4
Feb-2025,Ads Management,BliBli,182.6,105.8,15.4,22.1,7.0,76.9,32.3,2.48,6.15,177.4,152.9
